"id","type","date"
44,"g",2001-10-28
71,"b",2006-07-09
103,"e",2005-12-20
61,"e",2009-07-03
105,"c",2001-11-17
106,"h",2010-12-31
11,"a",2007-05-08
177,"b",2006-09-08
144,"e",2007-02-16
81,"e",2001-09-17
53,"e",2009-02-12
150,"b",2003-03-16
42,"h",2009-03-04
35,"j",2004-07-13
54,"c",2010-09-21
104,"f",2005-10-20
68,"b",2008-11-03
128,"c",2000-11-18
131,"j",2001-10-07
95,"e",2002-08-26
23,"b",2009-07-03
171,"h",2001-04-09
109,"b",2007-01-07
25,"g",2006-03-31
167,"e",2006-01-29
17,"d",2006-08-19
26,"b",2003-04-05
191,"e",2010-05-22
57,"g",2001-08-28
56,"f",2005-11-09
22,"i",2010-05-22
156,"j",2005-01-31
164,"j",2009-08-13
67,"d",2007-09-27
112,"i",2009-02-12
83,"i",2001-09-17
16,"g",2003-04-05
38,"a",2005-11-09
145,"d",2004-06-02
19,"g",2000-08-10
37,"f",2000-05-01
175,"j",2001-06-08
64,"c",2006-04-20
138,"h",2005-08-20
73,"d",2003-06-25
13,"g",2007-03-29
165,"i",2007-04-18
12,"h",2002-07-17
52,"j",2004-06-23
133,"g",2004-10-01
92,"i",2007-05-08
168,"d",2005-08-20
169,"h",2010-03-03
148,"a",2003-02-04
130,"b",2001-06-08
196,"e",2007-01-07
15,"j",2002-06-07
69,"e",2002-08-06
135,"b",2010-01-21
21,"j",2005-11-09
146,"a",2005-07-31
20,"h",2002-06-27
108,"g",2006-08-19
163,"c",2007-05-08
172,"b",2003-04-05
80,"c",2009-10-12
159,"b",2004-10-01
198,"i",2003-04-26
77,"h",2007-05-08
199,"j",2001-08-08
58,"a",2002-10-26
140,"d",2010-01-01
139,"f",2005-01-10
66,"h",2010-05-02
62,"e",2008-03-06
197,"c",2005-06-01
34,"b",2010-08-31
93,"g",2007-03-29
160,"d",2010-07-02
155,"a",2007-02-16
125,"c",2008-06-15
63,"e",2009-03-04
7,"e",2003-12-24
119,"g",2002-08-26
87,"h",2006-04-20
4,"a",2010-03-03
10,"j",2009-01-03
170,"a",2007-12-16
174,"b",2003-12-24
113,"c",2006-03-31
51,"h",2009-03-04
70,"a",2000-12-29
8,"a",2008-02-15
55,"e",2000-08-30
151,"b",2005-09-30
2,"j",2004-03-14
111,"j",2007-12-16
149,"h",2010-07-02
31,"c",2006-05-10
143,"h",2007-03-29
115,"d",2010-07-02
94,"e",2006-02-18
193,"a",2002-08-06
59,"j",2005-01-10
161,"j",2008-03-26
32,"e",2003-04-26
141,"b",2001-01-18
136,"e",2010-09-21
195,"i",2010-05-22
194,"g",2006-11-28
194,"e",2007-11-28
