"id","type","date"
187,"d",2004-10-22
90,"b",2009-10-12
132,"a",2003-08-05
86,"h",2000-07-20
29,"i",2010-12-10
14,"c",2002-11-15
85,"i",2003-04-05
18,"h",2002-02-26
200,"i",2000-12-09
153,"g",2006-03-10
162,"i",2007-05-28
96,"b",2007-06-18
5,"g",2002-01-16
178,"f",2001-02-07
188,"d",2000-05-21
116,"i",2003-02-24
89,"b",2002-02-26
74,"b",2001-09-17
118,"e",2004-10-01
190,"d",2001-04-09
182,"c",2000-03-01
47,"c",2002-10-26
180,"c",2004-04-23
157,"f",2000-02-10
152,"e",2003-05-16
46,"b",2001-02-07
185,"d",2005-11-09
98,"f",2002-11-15
189,"i",2002-03-18
147,"g",2001-10-28
176,"h",2001-12-27
117,"e",2000-04-10
9,"b",2000-05-01
41,"d",2007-03-09
107,"d",2005-07-11
72,"c",2000-03-01
120,"j",2009-10-12
134,"b",2009-08-13
100,"g",2007-09-06
137,"e",2000-01-01
